Unique ID	Title	Description	Category	Product URL	Image URL	Condition	Availability	Current Price	Item Group ID	Brand	GTIN	MPN	Gender	Age Group	Size	Color	Material	Pattern	Additional Image URL	Original Price	ASIN	Ship Cost	Ship Weight	Bid	Promo Text
55r4969	L'eau D'issey (Issey Miyake) Cologne for Men by Issey Miyake 4.2 oz Spray	L'eau D'issey (Issey Miyake) Cologne for Men by Issey Miyake 4.2 oz Eau de toilette Spray	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	https://hottperfume.com/leau-dissey-issey-miyake-cologne-for-men-by-issey-miyake-4-2-oz-spray/	https://cdn11.bigcommerce.com/s-ihg3qknk2i/images/stencil/1024x1024/products/795/1207/Leau_Dissey_Issey_Miyake_Cologne__79657.1594601122.jpg?c=1	New	In Stock	44.99		Issey Miyake															
44r5169	L'eau D'issey (Issey Miyake) Perfume for Women by Issey Miyake 3.4 oz Spray	L'eau D'issey (Issey Miyake) Perfume for Women by Issey Miyake 3.4 oz Eau de toilette Spray	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	https://hottperfume.com/leau-dissey-issey-miyake-perfume-for-women-by-issey-miyake-3-4-oz-spray/	https://cdn11.bigcommerce.com/s-ihg3qknk2i/images/stencil/1024x1024/products/797/1210/Leau_Dissey_Issey_Miyake_Perfume__93972.1594618362.jpg?c=1	New	In Stock	51.99		Issey Miyake															
ldi	L'Eau d'Issey Summer Pour Femme Perfume 3.3 oz Edt Spray	L'Eau d'Issey Summer Pour Femme Perfume 3.3 oz Eau de toilette Spray	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	https://hottperfume.com/leau-dissey-summer-issey-miyake-perfume-for-women-by-issey-miyake-3-4-oz-spray/	https://cdn11.bigcommerce.com/s-ihg3qknk2i/images/stencil/1024x1024/products/801/1217/Leau_Dissey_Summer__62359.1594618606.jpg?c=1	New	In Stock	42.99		Issey Miyake															
vilr3600	Viva La Juicy Perfume for Women by Juicy Couture 3.4 oz. EDP Spray	Viva La Juicy Perfume for Women by Juicy Couture 3.4 oz. Eau de parfum Spray	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	https://hottperfume.com/viva-la-juicy-perfume-for-women-by-juicy-couture-3-4-oz-edp-spray/	https://cdn11.bigcommerce.com/s-ihg3qknk2i/images/stencil/1024x1024/products/855/1313/Viva_La_Juicy__24254.1594682833.jpg?c=1	New	In Stock	52.99		Juicy Couture															
55r345816	Viva La Juicy Noir Perfume for Women by Juicy Couture 3.4 oz. EDP Spray	Viva La Juicy Noir Perfume for Women by Juicy Couture 3.4 oz. Eau de parfum Spray	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	https://hottperfume.com/viva-la-juicy-noir-perfume-for-women-by-juicy-couture-3-4-oz-edp-spray/	https://cdn11.bigcommerce.com/s-ihg3qknk2i/images/stencil/1024x1024/products/864/1328/Viva_La_Juicy_Noir_Perfume__86232.1594683350.jpg?c=1	New	In Stock	69.99		Juicy Couture															
220r4500	Kenzo Flower for Women by Kenzo 3.4 oz Spray	Kenzo Flower for Women by Kenzo 3.4 oz Eau de parfum Spray	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	https://hottperfume.com/kenzo-flower-for-women-by-kenzo-3-4-oz-spray/	https://cdn11.bigcommerce.com/s-ihg3qknk2i/images/stencil/1024x1024/products/876/1348/Kenzo_Flower__60494.1594755939.jpg?c=1	New	In Stock	59.99		Kenzo															
43r486817	Lancome Poeme Perfume For WOMEN By LANCOME 3.4 oz EDP Spray	Lancome Poeme Perfume For WOMEN By LANCOME 3.4 oz Eau de parfum Spray	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	https://hottperfume.com/lancome-poeme-perfume-for-women-by-lancome-3-4-oz-edp-spray/	https://cdn11.bigcommerce.com/s-ihg3qknk2i/images/stencil/1024x1024/products/910/1410/Lancome_Poeme_Perfume__34206.1594759080.jpg?c=1	New	In Stock	69.99		Lancome															
236r59bt	Lancome TRESOR For WOMEN By LANCOME 3.4 oz EDP Spray	Lancome TRESOR For WOMEN By LANCOME 3.4 oz Eau de parfum Spray	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	https://hottperfume.com/lancome-tresor-for-women-by-lancome-3-4-oz-edp-spray/	https://cdn11.bigcommerce.com/s-ihg3qknk2i/images/stencil/1024x1024/products/914/1416/Lancome_TRESOR__57750.1594759298.jpg?c=1	New	In Stock	54.99		Lancome															
lh5700	Lancome Hypnose for Women by Lancome 2.5 oz EDP Spray	Lancome Hypnose for Women by Lancome 2.5 oz Eau de parfum Spray	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	https://hottperfume.com/lancome-hypnose-for-women-by-lancome-2-5-oz-edp-spray/	https://cdn11.bigcommerce.com/s-ihg3qknk2i/images/stencil/1024x1024/products/917/1421/Lancome_Hypnose__75773.1594769888.jpg?c=1	New	In Stock	59.99		Lancome															
Lhs	Lancome Hypnose Senses Perfume for Women by Lancome 2.5 oz EDP Spray	Lancome Hypnose Senses Perfume for Women by Lancome 2.5 oz Eau de parfum Spray	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	https://hottperfume.com/lancome-hypnose-senses-perfume-for-women-by-lancome-2-5-oz-edp-spray/	https://cdn11.bigcommerce.com/s-ihg3qknk2i/images/stencil/1024x1024/products/920/1426/Lancome_Hypnose_Senses__60659.1594770062.jpg?c=1	New	No	48.99		Lancome															
